Configuration name,energy,safety,performance,
f1_v1_r1,0.34,0.68,0.79,
f1_v1_r2,0.33,0.7,0.67,
f1_v1_r3,0.33,0.71,0.00,
f1_v2_r1,0.48,0.41,0.94,
f1_v2_r2,0.49,0.42,0.84,
f1_v2_r3,0.49,0.42,0.77,
f1_v3_r1,0.73,0.28,1.00,
f1_v3_r2,0.76,0.27,0.84,
f1_v3_r3,0.7,0.26,0.89,
f2_v1_r1,0.38,0.66,0.75,
f2_v1_r2,0.36,0.69,0.74,
f2_v1_r3,0.38,0.71,0.67,
f2_v2_r1,0.48,0.41,0.94,
f2_v2_r2,0.57,0.42,0.81,
f2_v2_r3,0.49,0.43,0.86,
f2_v3_r1,0.67,0.28,0.95,
f2_v3_r2,0.78,0.28,0.96,
f2_v3_r3,0.66,0.28,0.90,
f3_v1_r1,0.39,0.62,0.39,
f3_v1_r2,0.4,0.7,0.74,
f3_v1_r3,0.4,0.69,0.61,
f3_v2_r1,0.55,0.42,0.92,
f3_v2_r2,0.59,0.41,0.87,
f3_v2_r3,0.59,0.42,0.83,
f3_v3_r1,0.78,0.28,0.99,
f3_v3_r2,0.74,0.28,0.95,
f3_v3_r3,0.74,0.29,0.89,
